,Year,month,KTO_total,KTO_perc,USA_total,USA_perc,Canada_total,Canada_perc,Brazil_total,Brazil_perc,DominicanRepublic_total,DominicanRepublic_perc,Jamaica_total,Jamaica_perc,Guatemala_total,Guatemala_perc,Chile_total,Chile_perc,CostaRica_total,CostaRica_perc,Panama_total,Panama_perc,Peru_total,Peru_perc,Mexico_total,Mexico_perc,Ecuador_total,Ecuador_perc
170,2018년,1월,2866780,0.2235259371553635,224005,0.08352641278532635,15156,-0.04954220494167816,33845,-0.21285205944600782,295,0.09259259259259256,29,-0.5166666666666666,,,22994,0.12660460558549724,577,0.14031620553359692,,,32133,0.09582921256351673,12413,0.37815032752303757,5370,-0.04209775240813418
171,,2월,2311009,0.03573751080663068,168171,-0.020045335089242555,10934,-0.11957484499557125,,,271,0.4648648648648648,34,-0.5405405405405406,,,,,549,-0.02659574468085102,,,,,9237,0.22865123703112533,,
172,,3월,2252565,0.16079167572770903,156455,-0.010836510314916281,13359,0.05421401515151514,,,321,1.2928571428571427,30,0.11111111111111116,,,,,497,-0.002008032128514081,,,,,10514,0.28706083976006846,,
173,,4월,2230200,0.11290590600630845,170804,-0.05892075945740449,15786,-0.2045752292653431,,,207,-0.1228813559322034,15,-0.42307692307692313,,,,,301,-0.2816229116945107,,,,,10045,0.2861715749039693,,
174,,5월,2331565,0.1635519708718387,189192,0.03464455831606128,25296,-0.05020087860924416,,,123,-0.5269230769230769,18,-0.6538461538461539,,,,,393,-0.11085972850678738,,,,,9152,0.16615698267074408,,
175,,6월,2323986,0.10764844437369359,202116,0.01997910747538567,32411,-0.03827779591110059,,,236,-0.35694822888283384,47,0.4242424242424243,,,,,295,-0.10876132930513593,,,,,9439,0.3262610650555009,,
176,,7월,2495297,0.044298952853944806,218681,-0.004878204165585931,42845,0.041241372606201976,,,285,-0.3262411347517731,34,0.41666666666666674,,,,,385,-0.1425389755011136,,,,,9843,0.031220534311157566,,
177,,8월,2519860,0.05641174845438801,201782,-0.005191411738605267,23646,-0.2178227647117198,,,220,0.4193548387096775,37,2.7,,,,,454,0.34718100890207726,,,,,9140,0.048766494549627115,,
178,,9월,2225756,-0.004803934719427638,192400,-0.12485387697919936,25294,-0.38768791304558325,,,196,0.03157894736842115,16,-0.11111111111111116,,,,,296,-0.22513089005235598,,,,,8262,-0.01748127006778455,,
179,,10월,2347876,0.05203454870352742,178648,-0.12345382196075738,24067,-0.310736890339949,,,237,0.2606382978723405,23,0.6428571428571428,,,,,309,-0.057926829268292734,,,,,10317,0.06514557092711137,,
180,,11월,2295810,0.030552392170206,139298,-0.22162059466134698,11315,-0.31336852964378903,,,277,0.0072727272727273196,7,-0.6666666666666667,,,,,318,-0.31612903225806455,,,,,11507,0.09475787270478553,,
181,,12월,2495279,0.06530689789139776,169045,-0.19733624557821516,13127,-0.18843894899536318,,,197,-,18,-0.4193548387096774,,,,,505,0.07446808510638303,,,,,12438,0.004441573124444709,,
182,2019년,1월,2912331,0.01588925554105991,211479,-0.0559183946786902,14639,-0.03411190287674848,39321,0.16179642487812074,305,0.03389830508474567,33,0.13793103448275867,,,,,787,0.3639514731369151,,,,,11778,-0.05115604608072177,,
183,,2월,2617946,0.13281514697692653,165478,-0.01601346248758706,12993,0.1883116883116882,,,189,-0.3025830258302583,39,0.1470588235294117,,,,,505,-0.08014571948998184,,,,,10647,0.15264696329977268,,
